"filename","approved_path","sha256","bytes","width","height","category","approval_status","review_notes"
"green_bridge_homepage.webp","/public/images/core/green_bridge_homepage.webp","BA47D8C090FED36424340F413C35DECC39B0A66BB2AD37E6E16CFAFAFE8C833D","307324","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"homepage_paradigm_shift_hero.webp","/public/images/core/homepage_paradigm_shift_hero.webp","3081DB3751B92C60278DE185F73914F23E0C7E546F40A4F5EF93726FC70502CE","175676","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"impenetra_tech_icon.webp","/public/images/core/impenetra_tech_icon.webp","552F0EED70A39A5EDB7E891C2AFD7FEE8C76572A1E51E90F18B0CC45AE9A23EF","140308","","","technology","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"logo-large-transparent.webp","/public/images/core/logo-large-transparent.webp","32F5784892B0673A4D9F238C665BBDFD7EC7C22FD5E0EF38DE372617167C14EC","188000","","","brand","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"logo-transparent.webp","/public/images/core/logo-transparent.webp","0634668685B49A5BCFE69F2692C0A9B3345423566ED8F8BE61A27DFF0668389E","13812","","","brand","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"lumacore_tech_icon.webp","/public/images/core/lumacore_tech_icon.webp","4F747498A2CCE7D58DB0DF6DEF62295A0C13780C5DCC1C3075890330D6287F9A","65482","","","technology","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"luxyl_landing_header.webp","/public/images/core/luxyl_landing_header.webp","50DFE1F6BCCFBC8639D118E9AC893B91BCD501AC9036EFA843A81ED3E163B9D9","151628","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"luxzol_series_card.webp","/public/images/core/luxzol_series_card.webp","74E6CC6AAE10508DE215FF14C8A52E3597A10803FA96983A38DC89B6F1B6B365","150790","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"market_architectural_hero.webp","/public/images/core/market_architectural_hero.webp","46501BBC90C8B6DE6A2728E279046256690698F85C373104FC30B3B33353BFAA","75190","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"market_automotive_refinish_hero.webp","/public/images/core/market_automotive_refinish_hero.webp","F03BDFDFF9053568F5C92B28AB0D99401FCC2ED9AA7D47C2B472A9392335CF17","130814","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"market_cosmetics_hero.webp","/public/images/core/market_cosmetics_hero.webp","0E3703B1BADA2D3F1EF6BADCD1C8BD58BB15EC98CCF1822F14DEC1878FB9A0EC","114736","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"market_industrial_maintenance_hero.webp","/public/images/core/market_industrial_maintenance_hero.webp","90AEF3AE8CD004871DF826BD100659DE03BE75073532CD1A9A773A9F07DC87EF","229840","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"market_plastics_composites_hero.webp","/public/images/core/market_plastics_composites_hero.webp","34206B03B1BC1E9751A22B13AC8271A5A7D988F85922EF8F4C5158BCCE3891B6","96146","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"market_wood_furniture_hero.webp","/public/images/core/market_wood_furniture_hero.webp","AAFF85DEEF89480711C12133D9F51CEC1321807D7133C153B07C3E23FE989636","132506","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"natuzol_series_card.webp","/public/images/core/natuzol_series_card.webp","EBCA46AD3748BF93FA8392377D9FFAB7242474AE05D028E70A4842B5B31091B2","89724","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"nitrocellolose_vs_Xeloxyl.webp","/public/images/core/nitrocellolose_vs_Xeloxyl.webp","DED1701BD331056EDE1C7974F8B3928D4E37FC887CEEC11767091C671177E3E3","147824","","","general","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"oleozol_series_card.webp","/public/images/core/oleozol_series_card.webp","FED7C09BDEC1E69BFDC6FA8BA79DCBC7E36FFD77E7479FB21B8B408272E5FD4D","146330","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"promo_tca_advantage_visual.webp","/public/images/core/promo_tca_advantage_visual.webp","214D24482C88F844847DCC089F7ECAF970580CE5ED144609F24A4063E15F893B","88946","","","proof-cta","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"purizol_series_card.webp","/public/images/core/purizol_series_card.webp","7A571E42925FE1D70378436FC13512A69BDE56B7E94C908272C2C8A5826AFB65","215164","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"quality_control_research.webp","/public/images/core/quality_control_research.webp","51E76EB99D68E0E694240523304BF6A0B747E7C1130303DAE4B5B31091127C5D","199560","","","general","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"rd_services_secure_ai.webp","/public/images/core/rd_services_secure_ai.webp","6D04A9FF401DAD3488FC6311BB94C4C598499A54ECA201F0168F982D30153873","177432","","","service","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"solvent_polymers_header.webp","/public/images/core/solvent_polymers_header.webp","603BEAC834FD4DE21FF1DD19B8E6EF979F30AE96C1F95CBE71F92B476ECCD070","270578","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"synerxyl_series_card.webp","/public/images/core/synerxyl_series_card.webp","2437EDB17504D51988F881423105898DAD31AE56BCBA9DDB5E2B5A8310718233","132118","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"tds_document_cta.webp","/public/images/core/tds_document_cta.webp","9A1E84466A14284D6156F9B509FE364B1B470D7B061B5CF2DADFEF4366E388C4","50164","","","proof-cta","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"team_rnd_lab.webp","/public/images/core/team_rnd_lab.webp","6FBD02E57CFB936109F8C1AADE91FD359CB310C829E21DBCEC1C9571CAABE929","462558","","","service","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"tectazol_series_card.webp","/public/images/core/tectazol_series_card.webp","E7BC208C4C8059484ADD47FB3DCABEB0C34CF1C3C9CDA0589360B425DA179023","161972","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"titanxyl_series_card.webp","/public/images/core/titanxyl_series_card.webp","1383E7656989D1AE291643ABD160427D5456E90CBC7F775C37B311499883BF4B","168940","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"velocyl_series_card.webp","/public/images/core/velocyl_series_card.webp","E77D56A05967ACFA6F5B906EEB010579280474D097533E7FB3D8991FE8967AE3","160390","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"xdry_tech_icon.webp","/public/images/core/xdry_tech_icon.webp","748EA98649890AA073E6EBC9F5400247B07FC0B9C6CAE16BC5388A0C21486240","121712","","","technology","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"xeloxyl_landing_header.webp","/public/images/core/xeloxyl_landing_header.webp","7351829F25E645BBE3FAC054A7BB6A1179096CD2CE277C1FA8E804B2F83067D2","81648","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"xelozol_series_card.webp","/public/images/core/xelozol_series_card.webp","22FB82D4E5F95B8B3B4A238C6C2173194B4784BE1A27EDECA24A60DF9DB26B07","117014","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"xylocore_tech_icon.webp","/public/images/core/xylocore_tech_icon.webp","D1026DD170959C14B77E231A32C068D8FC5ADEF02BCB5A384CF8486A5BBC9D7E","47630","","","technology","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
